id,generation_code,generation_label,net_rate,guarantee_months,age,male_coefficient,female_coefficient,valid_from,valid_to,notes
1,PRE_1990,עד 31.12.1989,0.04,120,60,169.2,189.2,1/1/1900,12/31/1989,
2,PRE_1990,עד 31.12.1989,0.04,120,61,164.2,184.2,1/1/1900,12/31/1989,
3,PRE_1990,עד 31.12.1989,0.04,120,62,159.2,179.2,1/1/1900,12/31/1989,
4,PRE_1990,עד 31.12.1989,0.04,120,63,154.2,174.2,1/1/1900,12/31/1989,
5,PRE_1990,עד 31.12.1989,0.04,120,64,149.2,169.2,1/1/1900,12/31/1989,
6,PRE_1990,עד 31.12.1989,0.04,120,65,144.2,164.2,1/1/1900,12/31/1989,
7,PRE_1990,עד 31.12.1989,0.04,120,66,139.2,159.2,1/1/1900,12/31/1989,
8,PRE_1990,עד 31.12.1989,0.04,120,67,134.2,154.2,1/1/1900,12/31/1989,
9,PRE_1990,עד 31.12.1989,0.04,120,68,129.2,149.2,1/1/1900,12/31/1989,
10,PRE_1990,עד 31.12.1989,0.04,120,69,124.2,144.2,1/1/1900,12/31/1989,
11,PRE_1990,עד 31.12.1989,0.04,120,70,119.2,139.2,1/1/1900,12/31/1989,
12,PRE_1990,עד 31.12.1989,0.04,120,71,114.2,134.2,1/1/1900,12/31/1989,
13,PRE_1990,עד 31.12.1989,0.04,120,72,109.2,129.2,1/1/1900,12/31/1989,
14,PRE_1990,עד 31.12.1989,0.04,120,73,104.2,124.2,1/1/1900,12/31/1989,
15,PRE_1990,עד 31.12.1989,0.04,120,74,99.2,119.2,1/1/1900,12/31/1989,
16,PRE_1990,עד 31.12.1989,0.04,120,75,94.2,114.2,1/1/1900,12/31/1989,
17,PRE_1990,עד 31.12.1989,0.04,120,76,89.2,109.2,1/1/1900,12/31/1989,
18,PRE_1990,עד 31.12.1989,0.04,120,77,84.2,104.2,1/1/1900,12/31/1989,
19,PRE_1990,עד 31.12.1989,0.04,120,78,79.2,99.2,1/1/1900,12/31/1989,
